id;title;short_description;description;since;till;image;images;channel_uuid;videos;social_1;social_1_link;social_2;social_2_link;social_3;social_3_link;social_4;social_4_link;social_5;social_5_link
91ec3c30-5e94-41e9-9c2d-1fed3720b010;Kristin Rice;;Known for their innovative use of technology in music production, they continuously redefine the electronic genre with groundbreaking releases.;2025-10-25 00:00;2025-10-25 00:45;https://images.unsplash.com/photo-1610608077449-9dd751e8b988?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1610608077449-9dd751e8b988?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/7xpja4fejbk;facebook;https://x.com/planbyapp;facebook;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;facebook;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
54e13336-3355-4f52-ab85-f5d8ae84cb56;Irving Bartoletti;;A pioneer in the genre, blending traditional sounds with modern electronic techniques. Their work often features cultural influences from around the globe.;2025-10-25 00:45;2025-10-25 01:45;https://images.unsplash.com/photo-1647685658173-94c4f42725fd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1647685658173-94c4f42725fd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/S-oc9lxsGUI;linkedin;https://x.com/planbyapp;linkedin;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;linkedin;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
e8952420-44e6-4246-baef-939d0b9b37b3;Kerry Mraz;;A passionate advocate for mental health awareness, using their platform to promote positivity and self-care through uplifting music and lyrics.;2025-10-25 01:45;2025-10-25 02:00;https://images.unsplash.com/photo-1618827840222-fcf8f42509c8?q=80&w=1931&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1618827840222-fcf8f42509c8?q=80&w=1931&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/e94gack-DJk;x;https://x.com/planbyapp;x;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;x;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
468d0b4f-bab7-4efc-a666-bccd85dfffca;Erik Satterfield;;A master of storytelling through sound, crafting deep and intricate compositions that take listeners on a journey through various moods and landscapes.;2025-10-25 02:00;2025-10-25 02:35;https://images.unsplash.com/photo-1647684380557-22603dbf9e82?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1647684380557-22603dbf9e82?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/hNUsOHg-cA0;instagram;https://x.com/planbyapp;instagram;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;instagram;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
c5c41b7c-9469-4e11-b191-0e5eaa3b3f26;Pearl Padberg;;With a signature style that fuses techno and trance, they have built a loyal following, known for delivering heart-pounding sets that leave fans wanting more.;2025-10-25 02:35;2025-10-25 03:00;https://images.unsplash.com/photo-1563900833704-e9c7a560f885?q=80&w=2089&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1563900833704-e9c7a560f885?q=80&w=2089&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/zFIikcWbFRc;medium;https://x.com/planbyapp;medium;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;medium;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
310c62e0-b350-4c9e-aa3e-c0641695457c;Marsha Kihn-Jaskolski II;;A visionary producer known for blending deep house with lush melodies, creating immersive soundscapes that transport listeners to another world.;2025-10-25 03:00;2025-10-25 04:00;https://images.unsplash.com/photo-1615529609972-1864841e3da3?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1615529609972-1864841e3da3?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/K6VyACwvuIo;tiktok;https://x.com/planbyapp;tiktok;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;tiktok;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
c8dbed99-02fc-461a-8013-7e1cc14a47da;Sheryl Ullrich;;An innovative DJ whose pulsating beats and infectious energy keep the dance floor alive. With a unique flair for remixing classic tracks, they are a crowd favorite.;2025-10-25 04:00;2025-10-25 05:00;https://images.unsplash.com/photo-1510855412585-af057ac84251?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1510855412585-af057ac84251?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/hNUsOHg-cA0;twitch;https://x.com/planbyapp;twitch;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;twitch;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
d97d3d7a-8587-46d3-8fc3-7afce19354d3;Ron Abernathy;;Known for their electrifying live performances, this artist combines visual art and music, creating a multi-sensory experience that captivates audiences.;2025-10-25 05:00;2025-10-25 06:00;https://images.unsplash.com/photo-1678016371865-f86610a9726d?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1678016371865-f86610a9726d?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/Sl0n6n_KzH4;discord;https://x.com/planbyapp;discord;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;discord;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
64ffefd9-1c14-47a1-a46f-1dbe6d7b3e9e;Claire Kuphal;;Creating immersive soundscapes that blend ambient sounds with rhythmic patterns, they invite listeners to escape reality and explore their inner thoughts.;2025-10-25 06:00;2025-10-25 07:00;https://images.unsplash.com/photo-1632850384791-99fda88d324b?q=80&w=2041&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1632850384791-99fda88d324b?q=80&w=2041&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/e94gack-DJk;github;https://x.com/planbyapp;github;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;github;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
9e85de9d-2e27-4017-b40d-cb0401a7a501;Dr. Brad Farrell;;Known for their electrifying live performances, this artist combines visual art and music, creating a multi-sensory experience that captivates audiences.;2025-10-25 07:00;2025-10-25 08:00;https://images.unsplash.com/photo-1647605239355-1f604f452cb0?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1647605239355-1f604f452cb0?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/MpZZ7SwtY2A;spotify;https://x.com/planbyapp;spotify;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;spotify;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
a92f7d84-5428-481c-bc17-9afc91fb47aa;Mr. Archie Lynch;;A pioneer in the genre, blending traditional sounds with modern electronic techniques. Their work often features cultural influences from around the globe.;2025-10-25 08:00;2025-10-25 09:00;https://images.unsplash.com/photo-1647685658173-94c4f42725fd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1647685658173-94c4f42725fd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/S-oc9lxsGUI;youtube;https://x.com/planbyapp;youtube;https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;youtube;https://www.youtube.com/watch?v=ziyFDyznMxc;;;;
84463bc9-b061-4a02-94e3-2683c3e974b4;Brandy Morar;;A skilled musician and producer who intricately weaves together various genres, from jazz to dubstep, showcasing their versatility and creativity.;2025-10-25 09:00;2025-10-25 10:00;https://images.unsplash.com/photo-1615529609972-1864841e3da3?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1615529609972-1864841e3da3?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/zFIikcWbFRc;;;;;;;;;;
aaaf2733-c64e-4b34-9c05-5c1f4fe5763e;Marie Kuvalis II;;<p>A visionary producer known for blending deep house with lush melodies, creating immersive soundscapes that transport listeners to another world.</p>;2025-10-25 10:00;2025-10-25 11:00;https://images.unsplash.com/photo-1618827840222-fcf8f42509c8?q=80&w=1931&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1618827840222-fcf8f42509c8?q=80&w=1931&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,,,,;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/7xpja4fejbk,, , ,;;;;;;;;;;
40d5ce48-0834-4199-a876-2f49ecf80a5f;Kim Lynch;;<p>An accomplished artist with a knack for crafting atmospheric tunes that evoke emotions. Their music is characterized by ethereal vocals and hypnotic rhythms.</p>;2025-10-25 11:00;2025-10-25 12:00;https://images.unsplash.com/photo-1542727313-4f3e99aa2568?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1542727313-4f3e99aa2568?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/Xc1nU7tuE_E,;;;;;;;;;;
717f30bc-a70d-4d8f-9438-155ef8d38663;Tabitha Nikolaus;;A charismatic performer whose infectious enthusiasm and engaging presence make every show unforgettable, creating a sense of community among fans.;2025-10-25 12:00;2025-10-25 13:00;https://images.unsplash.com/photo-1490585639275-bd19bcafe620?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;https://images.unsplash.com/photo-1490585639275-bd19bcafe620?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;836ad0c6-b38b-4b25-be2e-338a72c10e0c;https://www.youtube.com/embed/zFIikcWbFRc;;;;;;;;;;
